County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k,65 plus per 100k,5 Under per 100k
Abbeville County,South Carolina,11411.0,3139.0685110911027,63.3,74.5,52.2,24434.0,46701.31783580257,23291.315380207907,4808.872882049603
Acadia Parish,Louisiana,37515.0,3917.576873373577,70.9,81.2,60.6,56489.0,66411.15969480784,16955.513462798066,6898.688240188355
Accomack County,Virginia,28028.0,4867.775805529649,60.1,69.1,51.1,33239.0,84322.63305153584,26757.724359938627,5138.542074069617
Ada County,Idaho,362247.0,3086.493873326815,52.0,63.8,40.3,524673.0,69042.43214344935,16779.212957403943,4952.417982247991
Adair County,Iowa,3907.0,4547.300040600893,51.2,62.7,39.7,7389.0,52875.8966030586,22980.10556232237,6239.003924753011
Adair County,Kentucky,8737.0,2777.200996677741,58.5,69.3,47.8,19264.0,45354.02823920266,20042.566445182725,4858.803986710964
Adair County,Missouri,13895.0,3152.615237640315,54.3,65.6,43.0,25122.0,55310.08677653053,15695.40641668657,5345.911949685535
Adair County,Oklahoma,12543.0,3327.0494726652064,61.3,72.8,49.7,19627.0,63906.86299485403,15972.894482090996,6949.610230804504
Adams County,Colorado,404976.0,2851.705679975252,49.3,64.0,34.6,533365.0,75928.49174580259,11569.563057193478,6226.692790115587
Adams County,Idaho,2135.0,2161.941668366306,44.0,54.6,33.4,4903.0,43544.76850907608,31756.06771364471,3406.0779114827656
Adams County,Illinois,38190.0,5836.346425412393,55.2,65.7,44.7,64441.0,59263.51236014339,21158.889526854022,5709.098244906193
Adams County,Indiana,13478.0,2590.3880070546734,52.9,63.0,42.8,36288.0,37141.75485008818,16719.02557319224,8644.731040564375
Adams County,Iowa,2217.0,3837.471783295711,51.8,63.0,40.5,3544.0,62556.43340857788,25000.0,5361.17381489842
Adams County,Mississippi,20815.0,5044.180059834412,68.7,80.2,57.2,28746.0,72410.0744451402,22500.52181173033,5482.501913309678
Adams County,North Dakota,1294.0,7535.829865926953,44.2,56.7,31.8,2163.0,59824.31807674527,30559.408229311142,5316.689782709201
Adams County,Ohio,11252.0,4109.58904109589,55.5,67.2,43.9,27521.0,40885.14225500527,18970.96762472294,5951.818611242324
Adams County,Pennsylvania,69421.0,3090.4560272792,54.8,65.7,43.8,106748.0,65032.60014239143,22392.92539438678,4614.60636264848
Adams County,Washington,13893.0,1729.106628242075,51.1,62.7,39.5,20820.0,66729.10662824208,12233.42939481268,8688.760806916427
Adams County,Wisconsin,12802.0,3067.7420858781297,47.8,58.4,37.2,21449.0,59685.76623618817,32938.59853606229,3063.079863863117
Addison County,Vermont,31420.0,2545.06892895016,46.6,56.5,36.6,37720.0,83297.98515376459,23510.074231177095,3934.252386002121
Aiken County,South Carolina,100170.0,3723.2541071529386,65.0,76.1,53.9,177130.0,56551.68520295828,21248.800316151977,5752.836899452379
Aitkin County,Minnesota,10358.0,4750.962613339958,42.6,53.0,32.2,16102.0,64327.41274375854,34827.97168053658,3185.9396348279715
Alachua County,Florida,214684.0,5007.098051008064,71.3,82.6,60.0,285994.0,75065.9104736463,15775.855437526661,4614.432470611272
Alamance County,North Carolina,151112.0,3726.1741969692735,60.2,71.7,48.7,179165.0,84342.36597549745,17447.604163759665,5578.098400915357
Alameda County,California,1590789.0,2427.770394060368,59.2,69.9,48.4,1622188.0,98064.4043723662,16097.209447980134,5099.963752659987
Alamosa County,Colorado,10669.0,3638.546982888022,43.9,60.4,27.4,16655.0,64058.841188832186,15508.856199339538,5998.1987391173825
Albany County,New York,269750.0,4840.538244610133,50.4,60.1,40.6,316659.0,85186.27293081833,18719.190043548424,4548.425909258855
Albany County,Wyoming,25550.0,2036.22866403534,40.5,52.9,28.1,38257.0,66785.16349949029,13819.693128054996,3889.4842773871446
Albemarle County,Virginia,88416.0,3326.532729347488,58.5,69.9,47.1,115676.0,76434.17822193021,21268.02448217435,4771.949237525502
Alcona County,Michigan,6301.0,4175.803222423491,46.5,55.8,37.2,10489.0,60072.456859567166,37000.6673658118,3584.7077891124036
Alcorn County,Mississippi,17301.0,6354.181924710707,62.5,74.0,51.0,34135.0,50684.04863043797,19613.3001318295,5654.020799765636
